input size (n), operation count
4294962906, 157
4294962907, 158
4294962908, 157
4294962909, 158
4294962910, 158
4294962911, 159
4294962912, 155
4294962913, 156
4294962914, 156
4294962915, 157
4294962916, 156
4294962917, 157
4294962918, 157
4294962919, 158
4294962920, 156
4294962921, 157
4294962922, 157
4294962923, 158
4294962924, 157
4294962925, 158
4294962926, 158
4294962927, 159
4294962928, 156
4294962929, 157
4294962930, 157
4294962931, 158
4294962932, 157
4294962933, 158
4294962934, 158
4294962935, 159
4294962936, 157
4294962937, 158
4294962938, 158
4294962939, 159
4294962940, 158
4294962941, 159
4294962942, 159
4294962943, 160
4294962944, 153
4294962945, 154
4294962946, 154
4294962947, 155
4294962948, 154
4294962949, 155
4294962950, 155
4294962951, 156
4294962952, 154
4294962953, 155
4294962954, 155
4294962955, 156
4294962956, 155
4294962957, 156
4294962958, 156
4294962959, 157
4294962960, 154
4294962961, 155
4294962962, 155
4294962963, 156
4294962964, 155
4294962965, 156
4294962966, 156
4294962967, 157
4294962968, 155
4294962969, 156
4294962970, 156
4294962971, 157
4294962972, 156
4294962973, 157
4294962974, 157
4294962975, 158
4294962976, 154
4294962977, 155
4294962978, 155
4294962979, 156
4294962980, 155
4294962981, 156
4294962982, 156
4294962983, 157
4294962984, 155
4294962985, 156
4294962986, 156
4294962987, 157
4294962988, 156
4294962989, 157
4294962990, 157
4294962991, 158
4294962992, 155
4294962993, 156
4294962994, 156
4294962995, 157
4294962996, 156
4294962997, 157
4294962998, 157
4294962999, 158
4294963000, 156
4294963001, 157
4294963002, 157
4294963003, 158
4294963004, 157
4294963005, 158
4294963006, 158
4294963007, 159
4294963008, 154
4294963009, 155
4294963010, 155
4294963011, 156
4294963012, 155
4294963013, 156
4294963014, 156
4294963015, 157
4294963016, 155
4294963017, 156
4294963018, 156
4294963019, 157
4294963020, 156
4294963021, 157
4294963022, 157
4294963023, 158
4294963024, 155
4294963025, 156
4294963026, 156
4294963027, 157
4294963028, 156
4294963029, 157
4294963030, 157
4294963031, 158
4294963032, 156
4294963033, 157
4294963034, 157
4294963035, 158
4294963036, 157
4294963037, 158
4294963038, 158
4294963039, 159
4294963040, 155
4294963041, 156
4294963042, 156
4294963043, 157
4294963044, 156
4294963045, 157
4294963046, 157
4294963047, 158
4294963048, 156
4294963049, 157
4294963050, 157
4294963051, 158
4294963052, 157
4294963053, 158
4294963054, 158
4294963055, 159
4294963056, 156
4294963057, 157
4294963058, 157
4294963059, 158
4294963060, 157
4294963061, 158
4294963062, 158
4294963063, 159
4294963064, 157
4294963065, 158
4294963066, 158
4294963067, 159
4294963068, 158
4294963069, 159
4294963070, 159
4294963071, 160
4294963072, 154
4294963073, 155
4294963074, 155
4294963075, 156
4294963076, 155
4294963077, 156
4294963078, 156
4294963079, 157
4294963080, 155
4294963081, 156
4294963082, 156
4294963083, 157
4294963084, 156
4294963085, 157
4294963086, 157
4294963087, 158
4294963088, 155
4294963089, 156
4294963090, 156
4294963091, 157
4294963092, 156
